Biomarker,Document IDs,Activity Context Summary,Effect Summary,Clinical Implications Summary,Relevance for Sports (1-10),Occurrences in Dataset,Training Relation,Risk Indicator,Monitoring Relevance,Other
Fasting glucose,41010901,Post-SARS-CoV-2 infection in vaccinated survivors.,"Fasting glucose significantly declined over time in vaccinated survivors post-SARS-CoV-2 infection. This reduction was observed in both sexes, with a more pronounced decline in males. The total cohort's average fasting glucose decreased from 126.00 to 113.60 mg/dL (p=0.017), and males specifically showed a significant decline (p=0.033).",Sex-tailored long-term monitoring strategies should prioritize early metabolic screening in men to assess for greater subclinical cardiac stress and improved glycemic control post-vaccination. This biomarker also demonstrates diagnostic utility for understanding sex-based differences in glycemic control.,8,1,,,,
HbA1c,41010901,The activity context involves individuals post-SARS-CoV-2 infection who are vaccinated survivors.,"HbA1c levels significantly declined over time in both sexes, with a more pronounced reduction observed in males (total cohort decreased from 7.26% to 6.43%, p<0.001). Males also exhibited higher baseline HbA1c levels compared to females.","Clinical implications suggest the need for sex-tailored long-term monitoring strategies, particularly prioritizing early metabolic screening in men due to potentially greater subclinical cardiac stress. The data also indicates improved glycemic control post-vaccination and highlights the diagnostic utility for sex-based differences in glycemic control.",7,1,,,,
TSH,41010901,The activity context is post-SARS-CoV-2 infection in vaccinated survivors.,"TSH levels showed a modest but marked increase over time in females (from 2.18 to 3.26 µU/mL, p=0.043), while remaining stable in males.","Sex-tailored long-term monitoring strategies, particularly prolonged immunoendocrine surveillance in women, are important due to distinct and persistent endocrine shifts, including rising TSH and lower free T3, indicating an adverse risk for females.",7,1,,,,
Free T3,41010901,Post-SARS-CoV-2 infection in vaccinated survivors.,"Free T3 levels are consistently higher in males compared to females throughout follow-up (e.g., Males 3.18 "".0.05 ng/L vs Females 2.95 "".0.06 ng/L at T0).","Sex-tailored long-term monitoring strategies, particularly prolonged immunoendocrine surveillance in women, are important due to distinct endocrine shifts, with females demonstrating an adverse risk for persistent shifts including lower free T3.",8,1,,,,
Free T4,41010901,Evaluated post-SARS-CoV-2 infection in vaccinated survivors.,"A slight increase in Free T4 was observed over time in the total population (p=0.010), specifically showing an increase in males from 1.15 ± 0.02 ng/dL to 1.21 ± 0.02 ng/dL (p=0.021).","Long-term, sex-tailored monitoring strategies are necessary to assess and manage endocrine alterations following infection, emphasizing sex-specific physiological recovery patterns.",6,1,,,,
Creatinine,"41010901, 30848096",The contexts involve post-SARS-CoV-2 infection in vaccinated survivors and the effects of 12 weeks of daily milk protein supplementation in physically active older adults.,"Creatinine levels significantly increased over time post-SARS-CoV-2 infection in both sexes, with males consistently showing higher levels. In physically active older adults, creatinine concentrations generally increased over time in both protein-supplemented and control groups, with no significant adverse effects attributed specifically to the protein supplementation itself.","Higher creatinine levels post-SARS-CoV-2 infection suggest males may be at risk for earlier renal alterations, indicating its diagnostic utility for sex-based differences in renal adaptation. In contrast, protein supplementation for physically active older adults appears to be a safe strategy for renal function, as it did not lead to adverse risks.",6,2,,,,
Urea,"41010901, 30848096",The activity contexts include post-SARS-CoV-2 infection in vaccinated male survivors and 12 weeks of daily milk protein supplementation in physically active older adults.,"Urea levels were consistently higher in males post-SARS-CoV-2 infection and significantly increased in physically active older adults receiving daily milk protein supplementation, compared to controls or baseline.","Clinical implications suggest that higher urea in males post-SARS-CoV-2 infection may indicate earlier renal alterations and serves as a diagnostic marker for sex-based differences in renal adaptation. In the context of protein supplementation, increased serum urea reflects altered protein metabolism, though in the studied population, it was not linked to other adverse renal function changes, suggesting safety.",6,2,,,,
Troponin,41010901,"Evaluated in individuals post-SARS-CoV-2 infection, specifically vaccinated survivors.","Troponin levels decreased significantly in both sexes (females p=0.001, males p=0.003) following SARS-CoV-2 infection. Males consistently presented with higher troponin values, particularly during early follow-up periods.","Males show an increased risk for earlier cardiac alterations, including elevated troponin and greater subclinical cardiac stress. This suggests a need for sex-tailored long-term monitoring strategies, emphasizing early cardiac screening for men.",8,1,,,,
CRP,41010901,CRP levels were observed post-SARS-CoV-2 infection in vaccinated survivors.,"CRP levels significantly declined over time in both sexes, with males consistently showing higher levels than females, particularly at later time points (T2 and T3).",Males showed a more pronounced acute physiological burden and greater subclinical cardiac stress post-infection. This suggests a need for sex-tailored long-term monitoring strategies to evaluate and manage inflammatory parameters effectively.,8,1,,,,
Fibrinogen,41010901,Fibrinogen levels were examined in the context of post-SARS-CoV-2 infection in vaccinated survivors.,"Overall fibrinogen levels declined (p<0.001), but consistently remained significantly higher in females compared to males across all timepoints (p<0.05), indicating sustained elevation in females.","Females demonstrate an adverse risk for persistent inflammatory changes (sustained fibrinogen elevation) and potential for delayed coagulative resolution. This suggests a need for sex-tailored long-term monitoring strategies, prioritizing prolonged inflammatory surveillance in women.",6,1,,,,
